Invalid ticker symbol: NFInvalid ticker symbol: BABAError during batch insertion: Duplicate entry '9' for key 'Trades.PRIMARY'Invalid ticker symbol: NFInvalid ticker symbol: BABAInvalid ticker symbol: NF
Invalid ticker symbol: BABA
Error during batch insertion: Duplicate entry '9' for key 'Trades.PRIMARY'
Invalid ticker symbol: NF
Invalid ticker symbol: BABA
Invalid ticker symbol: NF
Invalid ticker symbol: BABA
Invalid ticker symbol: NF
Invalid ticker symbol: BABA
Invalid ticker symbol: NF
Invalid ticker symbol: BABA
Invalid ticker symbol: NF
Invalid ticker symbol: BABA
Invalid ticker symbol: NF
Invalid ticker symbol: BABA
Invalid ticker symbol: NF
Invalid ticker symbol: BABA
Sat Sep 21 21:20:10 EDT 2024: Invalid ticker symbol: NF
Sat Sep 21 21:20:10 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SPOT
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SNAP
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: NKE
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BIDU
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ROKU
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SPOT
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ZM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TSM
