trade_id,trade_identifier,ticker_symbol,quantity,price,trade_date
1,TDB_219848,PYPL,330,178.82,2024-08-13
2,TDB_195199,SPOT,,2735.94,2024-01-06
3,TDB_135287,HOOD,287,717.59,2024-07-19
4,TDB_227475,DOCU,asd,2052.41,2024-03-03
5,TDB_210749,GOOGL,470,2361.51,2024-07-22
6,TDB_171277,SNAP,11,2488.77,2024-08-15
7,TDB_232786,NKE,443,1800.6
8,TDB_140202,T,2,1168.74,2024-04-24
9,TDB_192224,INTC,322,790.6,2024-09-23
10,TDB_182176,HOOD,114,778.68,2024-11-17
11,TDB_220892,WMT,23,1719.88,2024-02-24
12,TDB_205365,BABA,434,272.08,2024-12-01
13,TDB_218162,AAPL,422,1653.71,2024-12-23
13,TDB_218162,AAPL,422,1653.71,2024-12-23
14,TDB_173818,MA,135,290.09,2024-08-23
15,TDB_149610,DOCU,460,117.28,2024-08-20
16,TDB_166758,VZ,338,181.92,2024-12-06
17,TDB_227121,BABA,351,2292.21,2024-12-12
18,TDB_176586,BAC,304,1238.04,2024-01-10
19,TDB_233789,NFLX,317,1672.22,2024-06-23
20,TDB_204580,SHOP,357,1248.18,2024-12-12
21,TDB_235113,WMT,237,1308.69,2024-09-21
22,TDB_220347,BIDU,430,1297.05,2024-09-08
23,TDB_235202,SQ,142,2234.86,2024-07-03
24,TDB_226617,SHOP,285,927.69,2024-03-31
25,TDB_168022,SHOP,121,1917.15,2024-11-29
26,TDB_187341,BABA,355,2397.79,2024-03-09
27,TDB_166889,BAC,63,1241.49,2024-05-21
28,TDB_159645,PFE,278,2401.12,2024-05-19
29,TDB_168087,HOOD,378,1067.0,2024-08-23
30,TDB_131649,ROKU,278,2453.12,2024-07-11
31,TDB_191939,SPOT,318,1395.88,2024-04-11
32,TDB_208670,ZM,231,2842.94,2024-11-22
33,TDB_137818,TSM,48,1246.25,2024-09-02
34,TDB_223981,MA,78,174.0,2024-01-27
35,TDB_167242,TWTR,276,466.4,2024-04-08
36,TDB_214374,BIDU,160,435.39,2024-02-26
37,TDB_200209,NET,458,2192.71,2024-02-29
38,TDB_155324,ADBE,339,2514.47,2024-11-17
39,TDB_125866,XOM,189,2236.0,2024-01-30
40,TDB_199586,SBUX,114,1073.98,2024-12-24
41,TDB_150735,TEAM,45,327.3,2024-07-23
42,TDB_229197,TSM,500,124.7,2024-09-19
43,TDB_217158,CRM,453,436.15,2024-03-27
44,TDB_227909,TWTR,42,747.07,2024-07-16
45,TDB_218501,BAC,75,1270.98,2024-07-10
46,TDB_220863,BAC,459,529.75,2024-09-11
47,TDB_131233,BABA,271,1786.21,2024-05-05
48,TDB_210078,Z,362,2032.12,2024-08-03
49,TDB_179741,LYFT,117,1706.54,2024-03-07
50,TDB_149714,JPM,110,2543.47,2024-11-25
51,TDB_143927,BA,327,698.31,2024-11-15
52,TDB_134479,COIN,442,2935.35,2024-03-24
53,TDB_132570,FB,157,985.86,2024-09-22
54,TDB_147942,ABNB,31,1932.2,2024-03-13
55,TDB_147847,UNH,29,2142.95,2024-02-21
56,TDB_133678,BABA,333,2510.89,2024-12-06
57,TDB_220049,CRM,22,2998.32,2024-11-18
58,TDB_172223,BAC,483,1010.5,2024-05-25
59,TDB_207241,BABA,261,749.68,2024-08-25
60,TDB_141358,BAC,217,1357.85,2024-09-12
61,TDB_140524,CMCSA,450,2617.64,2024-04-06
62,TDB_156936,NFLX,49,572.7,2024-08-21
63,TDB_171046,TWTR,17,1590.5,2024-06-27
64,TDB_227754,T,315,2315.15,2024-01-19
65,TDB_160066,UNH,141,608.92,2024-01-13
66,TDB_205722,TEAM,266,235.92,2024-05-20
67,TDB_188392,HOOD,30,2026.97,2024-03-08
68,TDB_131268,MRNA,300,1824.57,2024-06-29
69,TDB_171561,VISA,62,1444.83,2024-04-05
70,TDB_208370,BABA,182,2311.54,2024-12-06
71,TDB_134912,NFLX,87,981.62,2024-09-02
72,TDB_187141,TEAM,262,1476.04,2024-05-21
73,TDB_186689,MSFT,214,258.25,2024-03-07
74,TDB_172148,VZ,293,821.76,2024-01-01
75,TDB_145590,GOOGL,367,1699.63,2024-09-06
76,TDB_214455,BABA,33,707.79,2024-03-08
77,TDB_178529,VZ,72,2168.4,2024-11-12
78,TDB_217201,ROKU,95,1521.74,2024-04-25
79,TDB_231854,FVRR,203,895.87,2024-03-25
80,TDB_232365,ORCL,249,2777.14,2024-12-27
81,TDB_155979,ORCL,269,954.21,2024-01-25
82,TDB_215504,NVCR,499,701.86,2024-05-17
83,TDB_224221,ADBE,163,1197.83,2024-02-09
84,TDB_211818,XOM,205,1358.54,2024-05-11
85,TDB_227042,MA,490,2691.82,2024-05-12
86,TDB_224364,MSFT,27,1189.12,2024-02-11
87,TDB_124529,SQ,389,320.97,2024-05-08
88,TDB_227354,DOCU,435,1563.51,2024-03-15
89,TDB_197877,FSLY,332,1535.95,2024-10-11
90,TDB_185418,NFLX,460,605.46,2024-11-09
91,TDB_170840,NVCR,45,555.97,2024-02-01
92,TDB_220246,XOM,197,1165.72,2024-06-05
93,TDB_232613,COIN,102,192.15,2024-03-21
94,TDB_182137,INTC,486,2158.03,2024-12-29
