trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00000000,2024-09-19 22:16:18,TDB_CUST_5214938,V,SELL,683,638.02
TDB_00000001,2024-09-25 06:58:37,TDB_CUST_2517563,TSLA,SELL,45,1480.82
TDB_00000002,2024-09-19 14:46:00,TDB_CUST_8009136,GOOGL,SELL,837,736.37
TDB_00000003,2024-09-21 22:24:28,TDB_CUST_7788605,GOOGL,SELL,860,485.93
TDB_00000004,2024-09-19 22:13:22,TDB_CUST_9491926,AMZN,SELL,173,387.95
TDB_00000005,2024-09-20 02:02:33,TDB_CUST_6880935,AMZN,BUY,945,1185.13
TDB_00000006,2024-09-23 23:29:47,TDB_CUST_2981923,FB,SELL,132,298.92
TDB_00000007,2024-09-23 15:38:02,TDB_CUST_4327541,GOOGL,BUY,82,1458.59
TDB_00000008,2024-09-19 20:17:57,TDB_CUST_1815176,AMZN,BUY,560,629.12
TDB_00000009,2024-09-22 05:42:17,TDB_CUST_4606660,NFLX,SELL,271,1323.21
TDB_00000010,2024-09-19 05:48:36,TDB_CUST_6056790,V,SELL,864,538.28
TDB_00000011,2024-09-23 00:42:11,TDB_CUST_1319092,MSFT,SELL,953,46.34
TDB_00000012,2024-09-22 16:08:48,TDB_CUST_3017796,NVDA,SELL,979,502.67
TDB_00000013,2024-09-23 08:54:24,TDB_CUST_5587622,NVDA,SELL,393,1346.07
TDB_00000014,2024-09-19 06:09:18,TDB_CUST_1775026,MSFT,BUY,773,1094.27
TDB_00000015,2024-09-24 00:02:07,TDB_CUST_5774709,FB,SELL,498,69.11
TDB_00000016,2024-09-23 08:46:19,TDB_CUST_8321361,JPM,BUY,11,562.71
TDB_00000017,2024-09-19 03:40:55,TDB_CUST_8956992,GOOGL,BUY,6,1218.92
TDB_00000018,2024-09-23 22:00:34,TDB_CUST_2315665,MSFT,BUY,22,979.42
TDB_00000019,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000020,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000021,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000022,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000023,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000024,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000025,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000026,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000027,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000028,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000029,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000030,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000031,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000032,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000033,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000034,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000035,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000036,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000037,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
TDB_00000038,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
