[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 3 [ERROR LINE]: TradePOJO{trade_id='2', trade_identifier='TDB_195199', ticker_symbol='INVALID_TICKER', quantity=350, price=2735.94, date=2024-01-06} [TIME]: 2024-09-26T21:13:30.256317
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 3 [ERROR LINE]: TradePOJO{trade_id='2', trade_identifier='TDB_195199', ticker_symbol='INVALID_TICKER', quantity=350, price=2735.94, date=2024-01-06} [TIME]: 2024-09-26T21:13:30.260266
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 10 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:13:30.311602
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 10 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:13:30.311772
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 11 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:13:30.332968
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 11 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:13:30.333171
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:13:58.150620
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:13:58.152925
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:00.692537
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:00.694986
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:03.013806
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:03.016088
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 3 [ERROR LINE]: TradePOJO{trade_id='2', trade_identifier='TDB_195199', ticker_symbol='INVALID_TICKER', quantity=350, price=2735.94, date=2024-01-06} [TIME]: 2024-09-26T21:14:08.000725
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 3 [ERROR LINE]: TradePOJO{trade_id='2', trade_identifier='TDB_195199', ticker_symbol='INVALID_TICKER', quantity=350, price=2735.94, date=2024-01-06} [TIME]: 2024-09-26T21:14:08.004209
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 10 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:08.056201
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 10 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:08.056365
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 11 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:08.076115
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 11 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:08.076283
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 3 [ERROR LINE]: TradePOJO{trade_id='2', trade_identifier='TDB_195199', ticker_symbol='INVALID_TICKER', quantity=350, price=2735.94, date=2024-01-06} [TIME]: 2024-09-26T21:14:39.142190
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 3 [ERROR LINE]: TradePOJO{trade_id='2', trade_identifier='TDB_195199', ticker_symbol='INVALID_TICKER', quantity=350, price=2735.94, date=2024-01-06} [TIME]: 2024-09-26T21:14:39.145884
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 10 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:39.196724
[ERROR]: jdbc.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 10 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:39.196952
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 11 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-26T21:14:39.217790
