trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00000010,2024-09-19 05:48:36,TDB_CUST_6056790,V,SELL,864,538.28
TDB_00000011,2024-09-23 00:42:11,TDB_CUST_1319092,MSFT,SELL,953,46.34
TDB_00000012,2024-09-22 16:08:48,TDB_CUST_3017796,NVDA,SELL,979,502.67
TDB_00000013,2024-09-23 08:54:24,TDB_CUST_5587622,NVDA,SELL,393,1346.07
TDB_00000014,2024-09-19 06:09:18,TDB_CUST_1775026,MSFT,BUY,773,1094.27
TDB_00000015,2024-09-24 00:02:07,TDB_CUST_5774709,FB,SELL,498,69.11
TDB_00000016,2024-09-23 08:46:19,TDB_CUST_8321361,JPM,BUY,11,562.71
TDB_00000017,2024-09-19 03:40:55,TDB_CUST_8956992,GOOGL,BUY,6,1218.92
TDB_00000018,2024-09-23 22:00:34,TDB_CUST_2315665,MSFT,BUY,22,979.42
TDB_00000019,2024-09-24 07:08:27,TDB_CUST_6034867,NVDA,SELL,257,452.14
