trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00000000,2024-09-19 22:16:18,TDB_CUST_5214938,V,SELL,683,638.02
TDB_00000001,2024-09-25 06:58:37,TDB_CUST_2517563,TSLA,SELL,5,1480.82
TDB_00000002,2024-09-19 14:46:00,TDB_CUST_2517563,TSLA,Buy,10,736.37
TDB_00000003,2024-09-21 22:24:28,TDB_CUST_7788605,GOOGL,SELL,860,485.93
TDB_00000004,2024-09-23 15:38:02,TDB_CUST_7788605,GOOGL,BUY,860,1458.59
TDB_00000005,2024-09-19 22:13:22,TDB_CUST_9491926,AMZN,SELL,200,387.95
TDB_00000006,2024-09-20 02:02:33,TDB_CUST_9491926,AMZN,BUY,500,1185.13
TDB_00000011,2024-09-19 06:09:18,TDB_CUST_1775026MSFT,BUY,773,1094.27
TDB_00000012,2024-09-24 00:02:07,TDB_CUST_5774709FB,SELL,498,69.11
TDB_00000013,2024-09-23,TDB_CUST_8321361,JPM,BUY,562.71
TDB_00000014,2024-09-19 03:40:55,TDB_CUST_8956992,BUY,6,1218.92
TDB_00000015,2024-09-23 22:00:34,TDB_CUST_2315665,MSFT,979.42
TDB_00000016,TDB_CUST_6034867,SELL,257,452.14
TDB_00000021,2024-09-19 22:16:18,TDB_CUST_5214999,GOOGL,BUY,683,638.02
