trade_id,trade_identifier,ticker_symbol,quantity,price,trade_date
1,TDB_219848,PYPL,330,345.87,2023-09-18
2,TDB_195199,T,45,745.90,2023-08-15
3,TDB_135287,VISA,287,717.59,2024-07-19
4,TDB_227475,DOCU,231,2052.41,2024-03-03
5,TDB_210749,GOOGL,470,2361.51,2024-07-22
TDB_171277,SNAP,11,2488.77,2024-08-15
7,TDB_232786,NKE,443,1800.6,2024-10-17
8,TDB_140202,PYPL,267,1168,2024-04-24
9,TDB_192224,INTC,322,790.6,2024-09-23
10,TDB_182176,VISA,76.00,778.68,2024-11-17
11,TDB_220892,WMT,23,1719.88,2024-02-24
12,TDB_205365,T,434,272.08,2024-12-01
13,TDB_218162,AAPL,422,1653.71,2024-12-23
14,TDB_173818,MA,135,290.09,2024-08-23
15,TDB_149610,DOCU,460,117.28,2024-08-20
16,TDB_166758,VZ,338,181.92,2024-12
