trade_id,trade_identifier,ticker_symbol,quantity,price,trade_date
1,TDB_219848,PYPL,330,178.82,2024-08-13
2,TDB_195199,SPOT,350,2735.94,2024-01-06
3,TDB_135287,HOOD,287,717.59,2024-07-19
998,TDB_134888,JPM,289,1712.53,2024-07-27
999,TDB_140770,NVDA,200,503.35,2024-12-20
1000,TDB_203478,UBER,198,2927.4,2024-12-14
1000,TDB_203478,UBER,198,asca,2024-12-14
1000,TDB_203478,UBER,asas,2927.4,2024-12-14
1000,TDB_203478,UBER,198,adc.4,2024-12-14
1000,TDB_203478,UBER,csdc,2927.4,2024-12-14
1000,TDB_203478,UBER,198,sdvc.4,2024-12-14
1000,TDB_203478,UBER,200,2927.4,2024s-12-14
1000,TDB_203478,UBER,asas,2927.4,2024-12-14
1000,TDB_203478,UBER,198,adc.4,2024-12-14
1000,TDB_203478,UBER,csdc,2927.4,2024-12-14
1000,TDB_203478,UBER,198,sdvc.4,2024-12-14
1000,TDB_203478,UBER,200,2927.4,2024s-12-14
1000,TDB_203478,UBER,198,sdvc.4,2024-12-14
1000,TDB_203478,UBER,200,2927.4,2024s-12-14
1000,TDB_203478,UBER,asas,2927.4,2024-12-14
1000,TDB_203478,UBER,198,adc.4,2024-12-14
1000,TDB_203478,UBER,csdc,2927.4,2024-12-14
1000,TDB_203478,UBER,198,sdvc.4,2024-12-14
1000,TDB_203478,UBER,200,2927.4,2024s-12-14
1000,TDB_203478,UBER,200,2927.4,2024s-12-14
