trade_id,trade_identifier,ticker_symbol,quantity,price,trade_date
1,TDB_219848,PYPL,330,178.82,2024-08-13
2,TDB_195199,SPOT,,2735.94,2024-01-06
3,TDB_135287,HOOD,287,717.59,2024-07-19
4,TDB_227475,DOCU,asd,2052.41,2024-03-03
5,TDB_210749,GOOGL,470,2361.51,2024-07-22
6,TDB_171277,SNAP,11,2488.77,2024-08-15
7,TDB_232786,NKE,443,1800.6
8,TDB_140202,T,2,1168.74,2024-04-24
9,TDB_192224,INTC,322,790.6,2024-09-23
10,TDB_182176,HOOD,114,778.68,2024-11-17
11,TDB_220892,WMT,23,1719.88,2024-02-24
12,TDB_205365,BABA,434,272.08,2024-12-01
13,TDB_218162,AAPL,422,1653.71,2024-12-23
14,TDB_173818,MA,135,290.09,2024-08-23
15,TDB_149610,DOCU,460,117.28,2024-08-20
16,TDB_166758,VZ,338,181.92,2024-12-06
17,TDB_227121,BABA,351,2292.21,2024-12-12
18,TDB_176586,BAC,304,1238.04,2024-01-10
19,TDB_233789,NFLX,317,1672.22,2024-06-23
20,TDB_204580,SHOP,357,1248.18,2024-12-12
21,TDB_235113,WMT,237,1308.69,2024-09-21
22,TDB_220347,BIDU,430,1297.05,2024-09-08
23,TDB_235202,SQ,142,2234.86,2024-07-03
24,TDB_226617,SHOP,285,927.69,2024-03-31
25,TDB_168022,SHOP,,1917.15,2024-11-29
26,TDB_187341,BABA,355,2397.79,2024-03-09
27,TDB_166889,BAC,63,1241.49,2024--21
28,TDB_159645,,278,2401.12,2024-05-19
29,TDB_168087,HOOD,378,1067.0,2024-08-23
,TDB_131649,ROKU,278,2453.12,-07-11
31,TDB_191939,SPOT,318,1395.88,2024-04-11
32,TDB_208670,ZM,231,2842.94,2024-11-22
33,TDB_137818,TSM,48,,2024-09-02
34,,MA,78,174.0,2024-01-27
35,TDB_167242,TWTR,276,466.4,2024-04-08
36,TDB_214374,BIDU,160,435.39,2024-02-26
37,TDB_200209,NET,458,2192.71,2024-02-29
38,TDB_155324,,339,2514.47,2024-11-17
39,TDB_125866,XOM,189,2236.0,2024-01-30
40,TDB_199586,SBUX,114,1073.98,2024-12-24
41,TDB_150735,TEAM,45,327.3,-07-23
42,TDB_229197,TSM,500,124.7,2024-09-19
43,TDB_217158,CRM,453,436.15,2024-03-27
44,TDB_227909,TWTR,42,747.07,2024-07-16
45,TDB_218501,BAC,75,1270.98,2024-07
46,TDB_220863,BAC,459,529.75,2024-09-11
47,TDB_131233,BABA,271,1786.21,2024-05-05
48,TDB_210078,Z,362,rgf,2024-08-03
49,TDB_179741,LYFT,117,1706.54,2024-03-07
50,,JPM,110,2543.47,2024-11-25
51,TDB_143927,BA,327,698.31,2024-11-15
52,TDB_134479,COIN,442,2935.35,2024-03-24
53,TDB_132570,FB,157,,2024-09-22
