trade_id,trade_identifier,ticker_symbol,quantity,price,trade_date
1,TDB_219848,PYPL,330,178.82,2024-08-13
2,TDB_195199,SPOT,350,2735.94,2024-01-06
2,TDB_195199,SPOT,350,2735.94,2024-01-06
3,TDB_135287,HOOD,287,717.59,2024-07-19
4,TDB_227475,DOCU,231,2052.41,2024-03-03

6,TDB_171277,SNAP,11,2488.77,2024-08-15
7,TDB_232786,NKE,443,1800.6,
8,TDB_140202,T,2,1168.74,2024-04-24
9,TDB_192224,INTC,322,790.6,2024-09-23
10,TDB_182176,HOOD,114,778.68,2024-11-17
11,TDB_220892,WMT,23,1719.88,2024-02-24
12,TDB_205365,BABA,434,272.08,2024-12-01
13,TDB_218162,AAPL,422,1653.71,2024-12-23
14,TDB_173818,MA,135,290.09,224-08-23
15,TDB_149610,DOCU,460,117.28,0024-08-20
